old_section,old_title,start_line,end_line,source_lines,rewrite_pass,source_role,locked_marker,rationale_present,migration,target,migration_status,notes
26,Vacuum / Garbage Collection,758,777,20,1,ARCHITECTURE_OVERVIEW + ARCHITECTURAL_RATIONALE,yes,no,MERGE_AND_DEDUPLICATE,ARCHITECTURE_NEW.md §14 — Vacuum and Storage Reclamation,PENDING,Early high-level architecture overlaps later concrete sections; preserve unique rationale/constraints and merge into the later canonical contract.
27,Catalog,778,797,20,1,ARCHITECTURE_OVERVIEW + ARCHITECTURAL_RATIONALE,yes,no,MERGE_AND_DEDUPLICATE,ARCHITECTURE_NEW.md §16 — Catalog and Schema Metadata,PENDING,Early high-level architecture overlaps later concrete sections; preserve unique rationale/constraints and merge into the later canonical contract.
28,SQL Front End,798,822,25,1,ARCHITECTURE_OVERVIEW + ARCHITECTURAL_RATIONALE,yes,yes,MERGE_AND_DEDUPLICATE,"ARCHITECTURE_NEW.md §18 — Lexer, Parser, and AST",PENDING,Early high-level architecture overlaps later concrete sections; preserve unique rationale/constraints and merge into the later canonical contract.
29,Binder,823,843,21,1,ARCHITECTURE_OVERVIEW + ARCHITECTURAL_RATIONALE,yes,no,MERGE_AND_DEDUPLICATE,ARCHITECTURE_NEW.md §19 — Binding and Expression Semantics,PENDING,Early high-level architecture overlaps later concrete sections; preserve unique rationale/constraints and merge into the later canonical contract.
30,Logical Query Representation,844,866,23,1,ARCHITECTURE_OVERVIEW + ARCHITECTURAL_RATIONALE,yes,no,MERGE_AND_DEDUPLICATE,"ARCHITECTURE_NEW.md §20 — Logical Plans, Properties, and Rewrites",PENDING,Early high-level architecture overlaps later concrete sections; preserve unique rationale/constraints and merge into the later canonical contract.
31,Query Rewrite,867,885,19,1,ARCHITECTURE_OVERVIEW + ARCHITECTURAL_RATIONALE,yes,no,MERGE_AND_DEDUPLICATE,"ARCHITECTURE_NEW.md §20 — Logical Plans, Properties, and Rewrites",PENDING,Early high-level architecture overlaps later concrete sections; preserve unique rationale/constraints and merge into the later canonical contract.
32,Statistics,886,903,18,1,ARCHITECTURE_OVERVIEW + ARCHITECTURAL_RATIONALE,yes,no,MERGE_AND_DEDUPLICATE,ARCHITECTURE_NEW.md §34 — Statistics,PENDING,Early high-level architecture overlaps later concrete sections; preserve unique rationale/constraints and merge into the later canonical contract.
33,Cost-Based Optimizer,904,923,20,1,ARCHITECTURE_OVERVIEW + ARCHITECTURAL_RATIONALE,yes,no,MERGE_AND_DEDUPLICATE,ARCHITECTURE_NEW.md §33 — Optimizer Architecture,PENDING,Early high-level architecture overlaps later concrete sections; preserve unique rationale/constraints and merge into the later canonical contract.
34,Join Ordering,924,935,12,1,ARCHITECTURE_OVERVIEW + ARCHITECTURAL_RATIONALE,yes,no,MERGE_AND_DEDUPLICATE,ARCHITECTURE_NEW.md §37 — Physical Properties and Join Enumeration,PENDING,Early high-level architecture overlaps later concrete sections; preserve unique rationale/constraints and merge into the later canonical contract.
35,Physical Operators,936,959,24,1,ARCHITECTURE_OVERVIEW + ARCHITECTURAL_RATIONALE,yes,no,MERGE_AND_DEDUPLICATE,ARCHITECTURE_NEW.md §22 — Physical Plan and Runtime Operator Model,PENDING,Early high-level architecture overlaps later concrete sections; preserve unique rationale/constraints and merge into the later canonical contract.
36,Execution Model,960,998,39,1,ARCHITECTURE_OVERVIEW + ARCHITECTURAL_RATIONALE,yes,yes,MERGE_AND_DEDUPLICATE,ARCHITECTURE_NEW.md §22 — Physical Plan and Runtime Operator Model,PENDING,Early high-level architecture overlaps later concrete sections; preserve unique rationale/constraints and merge into the later canonical contract.
37,Execution Data Layout,999,1030,32,1,ARCHITECTURE_OVERVIEW + ARCHITECTURAL_RATIONALE,yes,no,MERGE_AND_DEDUPLICATE,ARCHITECTURE_NEW.md §23 — Vectorized Data and String Representation,PENDING,Early high-level architecture overlaps later concrete sections; preserve unique rationale/constraints and merge into the later canonical contract.
38,Primary Join Algorithms,1031,1049,19,1,ARCHITECTURE_OVERVIEW + ARCHITECTURAL_RATIONALE,yes,no,MERGE_AND_DEDUPLICATE,ARCHITECTURE_NEW.md §28 — Join Execution,PENDING,Early high-level architecture overlaps later concrete sections; preserve unique rationale/constraints and merge into the later canonical contract.
39,Aggregation,1050,1063,14,1,ARCHITECTURE_OVERVIEW + ARCHITECTURAL_RATIONALE,yes,no,MERGE_AND_DEDUPLICATE,ARCHITECTURE_NEW.md §29 — Aggregation and DISTINCT,PENDING,Early high-level architecture overlaps later concrete sections; preserve unique rationale/constraints and merge into the later canonical contract.
40,Sorting,1064,1075,12,1,ARCHITECTURE_OVERVIEW + ARCHITECTURAL_RATIONALE,yes,no,MERGE_AND_DEDUPLICATE,ARCHITECTURE_NEW.md §30 — Sorting and Top-N,PENDING,Early high-level architecture overlaps later concrete sections; preserve unique rationale/constraints and merge into the later canonical contract.
41,Query Memory Management,1076,1097,22,1,ARCHITECTURE_OVERVIEW + ARCHITECTURAL_RATIONALE,yes,no,MERGE_AND_DEDUPLICATE,"ARCHITECTURE_NEW.md §24 — Query Memory, Row Storage, and Spill",PENDING,Early high-level architecture overlaps later concrete sections; preserve unique rationale/constraints and merge into the later canonical contract.
42,Parallelism,1098,1114,17,1,ARCHITECTURE_OVERVIEW + ARCHITECTURAL_RATIONALE,yes,no,MERGE_AND_DEDUPLICATE,ARCHITECTURE_NEW.md §32 — Parallel Execution and Scheduling,PENDING,Early high-level architecture overlaps later concrete sections; preserve unique rationale/constraints and merge into the later canonical contract.
43,Threading / Shared State,1115,1132,18,1,ARCHITECTURE_OVERVIEW + ARCHITECTURAL_RATIONALE,yes,no,MERGE_AND_DEDUPLICATE,ARCHITECTURE_NEW.md §2 — System Architecture and Dependency Model,PENDING,Early high-level architecture overlaps later concrete sections; preserve unique rationale/constraints and merge into the later canonical contract.
44,Error Handling,1133,1150,18,1,ARCHITECTURE_CONTRACT,yes,no,REWRITE_CANONICALLY,ARCHITECTURE_NEW.md §39 — Error and Corruption Model,PENDING,Preserve normative semantics; reorganize into the canonical subsystem chapter.
45,Testing Philosophy,1151,1189,39,1,VERIFICATION_REQUIREMENT,yes,no,SPLIT_AND_MERGE,ARCHITECTURE_NEW.md §41 — Verification Requirements + VERIFICATION.md (proposed),PENDING,Keep architecture-level verification obligations; move detailed test recipes/checklists to verification documentation.
46,Benchmarking Philosophy,1190,1224,35,1,PERFORMANCE_VERIFICATION,yes,no,SPLIT_AND_MERGE,ARCHITECTURE_NEW.md §42 — Performance Requirements + VERIFICATION.md (proposed),PENDING,Keep required performance properties/metrics; move benchmark procedures/checklists to verification documentation.
47,Observability,1225,1249,25,1,ARCHITECTURE_CONTRACT,yes,no,REWRITE_CANONICALLY,ARCHITECTURE_NEW.md §40 — Observability and EXPLAIN,PENDING,Preserve normative semantics; reorganize into the canonical subsystem chapter.
48,Explain,1250,1272,23,1,ARCHITECTURE_CONTRACT,yes,no,REWRITE_CANONICALLY,ARCHITECTURE_NEW.md §40 — Observability and EXPLAIN,PENDING,Preserve normative semantics; reorganize into the canonical subsystem chapter.
49,Suggested Implementation Order,1273,1362,90,1,PROJECT_ROADMAP / MILESTONE,no,no,MOVE_OUT_OF_ARCHITECTURE,DEVELOPMENT.md (proposed),PENDING,Implementation sequence and milestone targets are project planning rather than system architecture.
50,Architecture Invariants,1363,1381,19,1,ARCHITECTURAL_INVARIANTS,no,no,MERGE_AND_DEDUPLICATE,ARCHITECTURE_NEW.md §B — Global Invariants,PENDING,Preserve every invariant; colocate subsystem-specific invariants with their owning chapters where useful.
51,Locked Architecture Decisions,1382,1402,21,1,ARCHITECTURE_DECISION_SUMMARY,yes,yes,MERGE_AND_DEDUPLICATE,ARCHITECTURE_NEW.md §1 — Scope and Design Goals,PENDING,Decision summaries duplicate detailed contracts; preserve unique rationale and ensure each decision has one canonical definition.
52,Working Philosophy,1403,1424,22,1,PROJECT_PHILOSOPHY + ARCHITECTURAL_RATIONALE,no,yes,SPLIT_AND_MERGE,ARCHITECTURE_NEW.md §1 — Scope and Design Goals + project/development documentation,PENDING,Keep architecture-relevant design motivation; move general learning/workflow philosophy out of the contract.
53,Concrete Storage Engine Contract,1425,1445,21,2,SUBSYSTEM_CONTRACT_INTRODUCTION,yes,no,MERGE_INTO_PART_INTRODUCTION,ARCHITECTURE_NEW.md §4 — Persistent Storage Foundations,PENDING,Use as subsystem framing; do not retain a second independent contract layer.
54,Fundamental Identifier Types,1446,1485,40,2,ARCHITECTURE_CONTRACT,yes,no,REWRITE_CANONICALLY,ARCHITECTURE_NEW.md §4 — Persistent Storage Foundations,PENDING,Preserve normative semantics; reorganize into the canonical subsystem chapter.
55,PageId,1486,1531,46,2,ARCHITECTURE_CONTRACT,yes,no,REWRITE_CANONICALLY,ARCHITECTURE_NEW.md §4 — Persistent Storage Foundations,PENDING,Preserve normative semantics; reorganize into the canonical subsystem chapter.
56,RID,1532,1556,25,2,ARCHITECTURE_CONTRACT,yes,no,REWRITE_CANONICALLY,ARCHITECTURE_NEW.md §4 — Persistent Storage Foundations,PENDING,Preserve normative semantics; reorganize into the canonical subsystem chapter.
57,Index-to-Heap Addressing,1557,1622,66,2,ARCHITECTURE_CONTRACT,yes,no,REWRITE_CANONICALLY,ARCHITECTURE_NEW.md §4 — Persistent Storage Foundations,PENDING,Preserve normative semantics; reorganize into the canonical subsystem chapter.
58,File Kinds,1623,1660,38,2,ARCHITECTURE_CONTRACT,yes,no,REWRITE_CANONICALLY,ARCHITECTURE_NEW.md §4 — Persistent Storage Foundations,PENDING,Preserve normative semantics; reorganize into the canonical subsystem chapter.
59,File Superblock,1661,1779,119,2,ARCHITECTURE_CONTRACT,yes,no,REWRITE_CANONICALLY,ARCHITECTURE_NEW.md §4 — Persistent Storage Foundations,PENDING,Preserve normative semantics; reorganize into the canonical subsystem chapter.
60,Page Allocation Policy,1780,1833,54,2,ARCHITECTURE_CONTRACT + RATIONALE,yes,yes,REWRITE_CANONICALLY,ARCHITECTURE_NEW.md §4 — Persistent Storage Foundations,PENDING,Preserve normative semantics; reorganize into the canonical subsystem chapter.
61,Common Page Header,1834,1877,44,2,ARCHITECTURE_CONTRACT + RATIONALE,yes,yes,REWRITE_CANONICALLY,ARCHITECTURE_NEW.md §4 — Persistent Storage Foundations,PENDING,Preserve normative semantics; reorganize into the canonical subsystem chapter.
62,Page Types,1878,1905,28,2,ARCHITECTURE_CONTRACT,yes,no,REWRITE_CANONICALLY,ARCHITECTURE_NEW.md §4 — Persistent Storage Foundations,PENDING,Preserve normative semantics; reorganize into the canonical subsystem chapter.
63,Page Checksums,1906,1935,30,2,ARCHITECTURE_CONTRACT,yes,no,REWRITE_CANONICALLY,ARCHITECTURE_NEW.md §4 — Persistent Storage Foundations,PENDING,Preserve normative semantics; reorganize into the canonical subsystem chapter.
64,Heap File Structure,1936,1961,26,3,ARCHITECTURE_CONTRACT + RATIONALE,yes,yes,REWRITE_CANONICALLY,ARCHITECTURE_NEW.md §5 — Heap Storage and Tuple Format,PENDING,Preserve normative semantics; reorganize into the canonical subsystem chapter.
65,Heap Scan Order,1962,1977,16,3,ARCHITECTURE_CONTRACT,yes,no,REWRITE_CANONICALLY,ARCHITECTURE_NEW.md §5 — Heap Storage and Tuple Format,PENDING,Preserve normative semantics; reorganize into the canonical subsystem chapter.
66,Heap Data Page Header,1978,2079,102,3,ARCHITECTURE_CONTRACT,yes,no,REWRITE_CANONICALLY,ARCHITECTURE_NEW.md §5 — Heap Storage and Tuple Format,PENDING,Preserve normative semantics; reorganize into the canonical subsystem chapter.
67,Slot Directory,2080,2182,103,3,ARCHITECTURE_CONTRACT,yes,no,REWRITE_CANONICALLY,ARCHITECTURE_NEW.md §5 — Heap Storage and Tuple Format,PENDING,Preserve normative semantics; reorganize into the canonical subsystem chapter.
68,Heap Page Free-Space Geometry,2183,2221,39,3,ARCHITECTURE_CONTRACT,yes,no,REWRITE_CANONICALLY,ARCHITECTURE_NEW.md §5 — Heap Storage and Tuple Format,PENDING,Preserve normative semantics; reorganize into the canonical subsystem chapter.
69,Maximum Inline Tuple Size,2222,2274,53,3,ARCHITECTURE_CONTRACT,yes,no,REWRITE_CANONICALLY,ARCHITECTURE_NEW.md §5 — Heap Storage and Tuple Format,PENDING,Preserve normative semantics; reorganize into the canonical subsystem chapter.
70,Tuple Header,2275,2390,116,3,ARCHITECTURE_CONTRACT,yes,no,REWRITE_CANONICALLY,ARCHITECTURE_NEW.md §5 — Heap Storage and Tuple Format,PENDING,Preserve normative semantics; reorganize into the canonical subsystem chapter.
71,Tuple Flags,2391,2449,59,3,ARCHITECTURE_CONTRACT,yes,no,REWRITE_CANONICALLY,ARCHITECTURE_NEW.md §5 — Heap Storage and Tuple Format,PENDING,Preserve normative semantics; reorganize into the canonical subsystem chapter.
72,Tuple Data Layout,2450,2491,42,3,ARCHITECTURE_CONTRACT,yes,no,REWRITE_CANONICALLY,ARCHITECTURE_NEW.md §5 — Heap Storage and Tuple Format,PENDING,Preserve normative semantics; reorganize into the canonical subsystem chapter.
73,Null Bitmap,2492,2632,141,3,ARCHITECTURE_CONTRACT,yes,no,REWRITE_CANONICALLY,ARCHITECTURE_NEW.md §5 — Heap Storage and Tuple Format,PENDING,Preserve normative semantics; reorganize into the canonical subsystem chapter.
74,Fixed-Width Values,2633,2698,66,3,ARCHITECTURE_CONTRACT,yes,no,REWRITE_CANONICALLY,ARCHITECTURE_NEW.md §5 — Heap Storage and Tuple Format,PENDING,Preserve normative semantics; reorganize into the canonical subsystem chapter.
75,VARCHAR Representation,2699,2787,89,3,ARCHITECTURE_CONTRACT,yes,no,REWRITE_CANONICALLY,ARCHITECTURE_NEW.md §5 — Heap Storage and Tuple Format,PENDING,Preserve normative semantics; reorganize into the canonical subsystem chapter.
76,Tuple Alignment,2788,2820,33,3,ARCHITECTURE_CONTRACT,yes,no,REWRITE_CANONICALLY,ARCHITECTURE_NEW.md §5 — Heap Storage and Tuple Format,PENDING,Preserve normative semantics; reorganize into the canonical subsystem chapter.
77,Schema Versioning,2821,2838,18,3,ARCHITECTURE_CONTRACT,yes,no,REWRITE_CANONICALLY,ARCHITECTURE_NEW.md §5 — Heap Storage and Tuple Format,PENDING,Preserve normative semantics; reorganize into the canonical subsystem chapter.
78,INSERT Path,2839,2869,31,3,ARCHITECTURE_CONTRACT,yes,no,REWRITE_CANONICALLY,ARCHITECTURE_NEW.md §5 — Heap Storage and Tuple Format,PENDING,Preserve normative semantics; reorganize into the canonical subsystem chapter.
79,UPDATE Path,2870,2899,30,3,ARCHITECTURE_CONTRACT,yes,no,REWRITE_CANONICALLY,ARCHITECTURE_NEW.md §15 — Transactional Write Protocols,PENDING,Preserve normative semantics; reorganize into the canonical subsystem chapter.
80,DELETE Path,2900,2915,16,3,ARCHITECTURE_CONTRACT,yes,no,REWRITE_CANONICALLY,ARCHITECTURE_NEW.md §15 — Transactional Write Protocols,PENDING,Preserve normative semantics; reorganize into the canonical subsystem chapter.
81,MVCC Visibility Boundary,2916,2944,29,3,ARCHITECTURE_CONTRACT + RATIONALE,yes,yes,REWRITE_CANONICALLY,ARCHITECTURE_NEW.md §10 — MVCC Visibility and Tuple-Version Semantics,PENDING,Preserve normative semantics; reorganize into the canonical subsystem chapter.
82,Free-Space Map,2945,3300,356,4,ARCHITECTURE_CONTRACT,yes,no,REWRITE_CANONICALLY,ARCHITECTURE_NEW.md §6 — Free-Space Management and Physical Reclamation,PENDING,Preserve normative semantics; reorganize into the canonical subsystem chapter.
83,FSM Persistence Semantics,3301,3337,37,4,ARCHITECTURE_CONTRACT,yes,no,REWRITE_CANONICALLY,ARCHITECTURE_NEW.md §6 — Free-Space Management and Physical Reclamation,PENDING,Preserve normative semantics; reorganize into the canonical subsystem chapter.
84,Heap Page Compaction,3338,3375,38,4,ARCHITECTURE_CONTRACT,yes,no,REWRITE_CANONICALLY,ARCHITECTURE_NEW.md §6 — Free-Space Management and Physical Reclamation,PENDING,Preserve normative semantics; reorganize into the canonical subsystem chapter.
85,Vacuum Physical Reclamation,3376,3396,21,4,ARCHITECTURE_CONTRACT,yes,no,REWRITE_CANONICALLY,ARCHITECTURE_NEW.md §14 — Vacuum and Storage Reclamation,PENDING,Preserve normative semantics; reorganize into the canonical subsystem chapter.
86,DiskManager Responsibilities,3397,3458,62,5,ARCHITECTURE_CONTRACT,yes,no,REWRITE_CANONICALLY,ARCHITECTURE_NEW.md §7 — I/O and Buffer Management,PENDING,Preserve normative semantics; reorganize into the canonical subsystem chapter.
87,File I/O Semantics,3459,3520,62,5,ARCHITECTURE_CONTRACT,yes,no,REWRITE_CANONICALLY,ARCHITECTURE_NEW.md §7 — I/O and Buffer Management,PENDING,Preserve normative semantics; reorganize into the canonical subsystem chapter.
88,BufferPool Responsibilities,3521,3546,26,5,ARCHITECTURE_CONTRACT,yes,no,REWRITE_CANONICALLY,ARCHITECTURE_NEW.md §7 — I/O and Buffer Management,PENDING,Preserve normative semantics; reorganize into the canonical subsystem chapter.
89,Buffer Frame,3547,3570,24,5,ARCHITECTURE_CONTRACT,yes,no,REWRITE_CANONICALLY,ARCHITECTURE_NEW.md §7 — I/O and Buffer Management,PENDING,Preserve normative semantics; reorganize into the canonical subsystem chapter.
90,Page Guards,3571,3603,33,5,ARCHITECTURE_CONTRACT,yes,no,REWRITE_CANONICALLY,ARCHITECTURE_NEW.md §7 — I/O and Buffer Management,PENDING,Preserve normative semantics; reorganize into the canonical subsystem chapter.
91,Buffer-Pool Page Table,3604,3625,22,5,ARCHITECTURE_CONTRACT,yes,no,REWRITE_CANONICALLY,ARCHITECTURE_NEW.md §7 — I/O and Buffer Management,PENDING,Preserve normative semantics; reorganize into the canonical subsystem chapter.
92,Pinning Semantics,3626,3645,20,5,ARCHITECTURE_CONTRACT,yes,no,REWRITE_CANONICALLY,ARCHITECTURE_NEW.md §7 — I/O and Buffer Management,PENDING,Preserve normative semantics; reorganize into the canonical subsystem chapter.
93,Dirty-Page Semantics,3646,3661,16,5,ARCHITECTURE_CONTRACT,yes,no,REWRITE_CANONICALLY,ARCHITECTURE_NEW.md §7 — I/O and Buffer Management,PENDING,Preserve normative semantics; reorganize into the canonical subsystem chapter.
94,WAL-before-Data Enforcement Point,3662,3697,36,5,ARCHITECTURE_CONTRACT,yes,no,REWRITE_CANONICALLY,ARCHITECTURE_NEW.md §7 — I/O and Buffer Management,PENDING,Preserve normative semantics; reorganize into the canonical subsystem chapter.
95,CLOCK Replacement Contract,3698,3723,26,5,ARCHITECTURE_CONTRACT,yes,no,REWRITE_CANONICALLY,ARCHITECTURE_NEW.md §7 — I/O and Buffer Management,PENDING,Preserve normative semantics; reorganize into the canonical subsystem chapter.
96,Storage Object Boundaries,3724,3763,40,5,ARCHITECTURE_CONTRACT,yes,no,REWRITE_CANONICALLY,ARCHITECTURE_NEW.md §2 — System Architecture and Dependency Model,PENDING,Preserve normative semantics; reorganize into the canonical subsystem chapter.
97,HeapPage API Shape,3764,3797,34,5,ARCHITECTURE_CONTRACT,yes,no,REWRITE_CANONICALLY,ARCHITECTURE_NEW.md §5 — Heap Storage and Tuple Format,PENDING,Preserve normative semantics; reorganize into the canonical subsystem chapter.
98,TupleCodec Boundary,3798,3829,32,5,ARCHITECTURE_CONTRACT,yes,no,REWRITE_CANONICALLY,ARCHITECTURE_NEW.md §5 — Heap Storage and Tuple Format,PENDING,Preserve normative semantics; reorganize into the canonical subsystem chapter.
99,Zero-Copy vs Decode Policy,3830,3851,22,5,ARCHITECTURE_CONTRACT,yes,no,REWRITE_CANONICALLY,ARCHITECTURE_NEW.md §5 — Heap Storage and Tuple Format,PENDING,Preserve normative semantics; reorganize into the canonical subsystem chapter.
100,Lifetime Safety Rule,3852,3872,21,5,ARCHITECTURE_CONTRACT,yes,no,REWRITE_CANONICALLY,ARCHITECTURE_NEW.md §7 — I/O and Buffer Management,PENDING,Preserve normative semantics; reorganize into the canonical subsystem chapter.
