line,level,parent_old_section,heading
1117,2,43,LOCKED
1133,1,44,44. Error Handling
1135,2,44,LOCKED
1151,1,45,45. Testing Philosophy
1153,2,45,LOCKED
1157,3,45,Unit tests
1161,3,45,Property/randomized tests
1171,3,45,Crash tests
1175,3,45,Differential tests
1179,3,45,Concurrency stress tests
1190,1,46,46. Benchmarking Philosophy
1192,2,46,LOCKED
1225,1,47,47. Observability
1227,2,47,LOCKED
1250,1,48,48. Explain
1252,2,48,LOCKED
1273,1,49,49. Suggested Implementation Order
1277,2,49,Phase 1 — Raw storage
1287,2,49,Phase 2 — Buffer management
1295,2,49,Phase 3 — Indexes
1305,2,49,Phase 4 — Transactions and durability
1317,2,49,Phase 5 — Catalog and SQL
1327,2,49,Phase 6 — Query execution
1341,2,49,Phase 7 — Optimization
1352,2,49,Phase 8 — Performance work
1363,1,50,50. Architecture Invariants
1382,1,51,51. Locked Architecture Decisions
1403,1,52,52. Working Philosophy
1425,1,53,53. Concrete Storage Engine Contract
1427,2,53,LOCKED
1446,1,54,54. Fundamental Identifier Types
1448,2,54,LOCKED
1486,1,55,55. PageId
1488,2,55,LOCKED
1532,1,56,56. RID
1534,2,56,LOCKED
1557,1,57,57. Index-to-Heap Addressing
1559,2,57,LOCKED: indexes reference physical tuple-version RIDs
1575,3,57,Consequence for UPDATE
1595,3,57,Consequence for index scans
1615,3,57,Future optimization
1623,1,58,58. File Kinds
1625,2,58,LOCKED
1661,1,59,59. File Superblock
1663,2,59,LOCKED
1739,3,59,Superblock checksum
1753,3,59,Superblock validation
1780,1,60,60. Page Allocation Policy
1782,2,60,LOCKED: append-first allocation
1814,3,60,Page reuse
1826,3,60,Why this choice
1834,1,61,61. Common Page Header
1836,2,61,LOCKED: 32-byte common header
1859,3,61,Why store page_no inside the page?
1868,3,61,`page_lsn`
1878,1,62,62. Page Types
1880,2,62,LOCKED
1906,1,63,63. Page Checksums
1908,2,63,LOCKED: checksum field reserved from day one
1914,3,63,Before WAL/recovery milestone
1918,3,63,From recovery milestone onward
1936,1,64,64. Heap File Structure
1938,2,64,LOCKED
1962,1,65,65. Heap Scan Order
1964,2,65,LOCKED: physical page order
1978,1,66,66. Heap Data Page Header
1980,2,66,LOCKED
2047,3,66,Empty free-slot list
2062,3,66,Reserved and hint fields
2080,1,67,67. Slot Directory
2082,2,67,LOCKED: 8-byte slot entries
2130,3,67,DEAD slot coordinates before and after physical reclamation
2165,3,67,Stable slot semantics
2183,1,68,68. Heap Page Free-Space Geometry
2185,2,68,LOCKED
2222,1,69,69. Maximum Inline Tuple Size
2224,2,69,LOCKED for v1
2259,3,69,Later milestone
2275,1,70,70. Tuple Header
2277,2,70,LOCKED: explicit MVCC-aware tuple header
2317,3,70,`xmin`
2321,3,70,`xmax`
2333,3,70,`cmin` / `cmax`
2349,3,70,Previous-version pointer
2391,1,71,71. Tuple Flags
2393,2,71,LOCKED
2450,1,72,72. Tuple Data Layout
2452,2,72,LOCKED: schema-directed compact binary layout
2492,1,73,73. Null Bitmap
2494,2,73,LOCKED
2524,3,73,Persisted bit meaning
2531,3,73,Persisted bit ordering
2557,3,73,Nullable versus `NOT NULL`
2581,3,73,Canonical bitmap and `HAS_NULLS` rules
2606,3,73,Bytes reserved for NULL fixed-width values
2633,1,74,74. Fixed-Width Values
2635,2,74,LOCKED
2652,3,74,BOOLEAN
2663,3,74,Signed integer representation
2678,3,74,FLOAT64
2699,1,75,75. VARCHAR Representation
2701,2,75,LOCKED
2726,3,75,Canonical NULL VARCHAR descriptor
2741,3,75,Canonical present VARCHAR packing
2788,1,76,76. Tuple Alignment
2790,2,76,"LOCKED: compact persisted layout, aligned execution layout"
2821,1,77,77. Schema Versioning
2823,2,77,LOCKED: tuple carries schema version
2839,1,78,78. INSERT Path
2841,2,78,LOCKED
2870,1,79,79. UPDATE Path
2872,2,79,LOCKED: append a new physical version
2892,3,79,Same-page preference
2900,1,80,80. DELETE Path
2902,2,80,LOCKED: logical deletion first
2916,1,81,81. MVCC Visibility Boundary
2918,2,81,LOCKED
2945,1,82,82. Free-Space Map
2947,2,82,LOCKED: separate approximate FSM
2979,2,82,82.1 v1 free-space category semantics
3049,2,82,82.2 Category lower-bound interpretation
3081,2,82,82.3 FSM_DATA persisted page format
3134,2,82,82.4 Heap-page to FSM-entry mapping
3187,2,82,82.5 `entry_count` semantics
3225,2,82,82.6 Blank FSM_DATA page initialization
3260,2,82,82.7 In-memory accelerator
3279,2,82,82.8 FSM is advisory
3301,1,83,83. FSM Persistence Semantics
3303,2,83,LOCKED
3338,1,84,84. Heap Page Compaction
3340,2,84,LOCKED
3376,1,85,85. Vacuum Physical Reclamation
3378,2,85,LOCKED
3397,1,86,86. DiskManager Responsibilities
3399,2,86,LOCKED
3442,3,86,File lifecycle boundary
3459,1,87,87. File I/O Semantics
3461,2,87,LOCKED
3521,1,88,88. BufferPool Responsibilities
3523,2,88,LOCKED
3547,1,89,89. Buffer Frame
3549,2,89,LOCKED
3571,1,90,90. Page Guards
3573,2,90,LOCKED: RAII page ownership
3604,1,91,91. Buffer-Pool Page Table
3606,2,91,LOCKED: hash lookup abstraction
3626,1,92,92. Pinning Semantics
3628,2,92,LOCKED
3646,1,93,93. Dirty-Page Semantics
3648,2,93,LOCKED
3662,1,94,94. WAL-before-Data Enforcement Point
3664,2,94,LOCKED: enforced by BufferPool flush path
3698,1,95,95. CLOCK Replacement Contract
3700,2,95,LOCKED
3724,1,96,96. Storage Object Boundaries
3726,2,96,LOCKED
3764,1,97,97. HeapPage API Shape
3766,2,97,LOCKED conceptually
3798,1,98,98. TupleCodec Boundary
3800,2,98,LOCKED
3830,1,99,99. Zero-Copy vs Decode Policy
3832,2,99,"LOCKED: views in storage, vectors in execution"
3852,1,100,100. Lifetime Safety Rule
3854,2,100,LOCKED
3873,1,101,101. Initial Module Layout
3875,2,101,LOCKED as a recommended project structure
3948,1,102,102. Storage-Layer Dependency Direction
3950,2,102,LOCKED
3972,1,103,103. Storage Milestone 1
3974,2,103,LOCKED target
4014,1,104,104. Storage Milestone 1 Required Tests
4016,2,104,LOCKED
4020,3,104,Slotted-page tests
4029,3,104,Tuple codec tests
4039,3,104,Disk tests
4047,3,104,Buffer tests
4067,3,104,Heap tests
4077,1,105,105. Storage Milestone 1 Benchmarks
4079,2,105,LOCKED
4109,1,106,106. Deliberately Deferred Storage Features
4111,2,106,LOCKED
4135,1,107,107. Storage Decisions Record
4137,2,107,LOCKED
4166,1,108,108. Next Architecture Topic
4202,1,109,109. B+ Tree Architecture Contract
4204,2,109,LOCKED
4228,1,110,110. B+ Tree File and Superblock
4230,2,110,LOCKED
4274,1,111,111. Index Key Schema
4276,2,111,LOCKED
4294,1,112,112. User Key vs Physical Key
4296,2,112,LOCKED
4332,1,113,113. Persistent RID Encoding in Indexes
4334,2,113,LOCKED: 16 bytes
4367,1,114,114. Order-Preserving Index Key Encoding
4369,2,114,LOCKED: memcomparable encoding
4394,1,115,115. Index Field Encoding
4396,2,115,LOCKED
4409,3,115,BOOLEAN
4416,3,115,INT32 / DATE
4426,3,115,INT64 / TIMESTAMP
4434,3,115,FLOAT64
4456,3,115,VARCHAR
4477,1,116,116. Composite Keys
4479,2,116,LOCKED
4493,1,117,117. Maximum Encoded User Key
4495,2,117,LOCKED for v1
4522,1,118,118. Physical-Key Comparison and Search Sentinels
4524,2,118,LOCKED
4552,1,119,119. Node Page Organization
4554,2,119,LOCKED
4595,1,120,120. B+ Tree Slot Entry
4597,2,120,LOCKED: 8 bytes
4616,1,121,121. Leaf Header
4618,2,121,LOCKED: 64 bytes total
4640,1,122,122. Leaf Entry
4642,2,122,LOCKED
4661,1,123,123. Internal Header
4663,2,123,LOCKED: 64 bytes total
4688,1,124,124. Internal Entry
4690,2,124,LOCKED
4710,1,125,125. Internal Representation and Separator Semantics
4712,2,125,LOCKED: routing lower bounds
4755,1,126,126. When a Separator Must Change
4757,2,126,LOCKED
4778,1,127,127. Internal Search
4780,2,127,LOCKED
4802,1,128,128. Leaf Search
4804,2,128,LOCKED
4828,1,129,129. Split Trigger and Compaction
4830,2,129,LOCKED
4846,1,130,130. Leaf Split
4848,2,130,LOCKED: byte-balanced
4865,1,131,131. Leaf Sibling Links on Split
4867,2,131,LOCKED
4898,1,132,132. Internal Split
4900,2,132,LOCKED
4938,1,133,133. Root Split and Contraction
4940,2,133,LOCKED
4942,3,133,Root split
4956,3,133,Root contraction
4970,1,134,134. Occupancy and Underflow
4972,2,134,LOCKED
5007,1,135,135. Redistribution and Merge Policy
5009,2,135,LOCKED
5024,1,136,136. Leaf Merge
5026,2,136,LOCKED
5053,1,137,137. Internal Rebalancing
5055,2,137,LOCKED
5071,1,138,138. Tree-Local Free Page List
5073,2,138,LOCKED
5106,1,139,139. Safe Page Reuse
5108,2,139,LOCKED
5122,1,140,140. Point Lookup Concurrency
5124,2,140,LOCKED: read latch coupling
5144,1,141,141. Write Concurrency
5146,2,141,LOCKED: write latch crabbing
5163,3,141,Insert safety
5169,3,141,Delete safety
5177,1,142,142. Root Metadata Synchronization
5179,2,142,LOCKED
5194,1,143,143. Latch Ordering
5196,2,143,LOCKED
5198,3,143,Vertical
5206,3,143,Horizontal leaf operations
5226,1,144,144. Forward Range Scan
5228,2,144,LOCKED
5245,1,145,145. Leaf Handoff During Range Scan
5247,2,145,LOCKED: latch coupled
5262,1,146,146. Reverse Scans
5264,2,146,DEFERRED
5282,1,147,147. B+ Tree API Boundary
5284,2,147,LOCKED conceptually
5314,1,148,148. IndexKeyCodec Boundary
5316,2,148,LOCKED
5339,1,149,149. Duplicate SQL Keys
5341,2,149,LOCKED
5357,1,150,150. Unique Index Enforcement
5359,2,150,LOCKED architectural boundary
5395,1,151,151. UNIQUE and NULL
5397,2,151,LOCKED for v1
5412,1,152,152. MVCC Interaction
5414,2,152,LOCKED
5450,1,153,153. Index-Only Scans
5452,2,153,DEFERRED
5465,1,154,154. UPDATE and DELETE Interaction
5467,2,154,LOCKED
5471,3,154,UPDATE
5485,3,154,DELETE
5495,1,155,155. Vacuum Index Cleanup
5497,2,155,LOCKED
5509,1,156,156. HOT-Like Optimization
5511,2,156,"DEFERRED, explicitly planned"
5521,1,157,157. Index Scan Cost Awareness
5523,2,157,LOCKED
5544,1,158,158. Prefix Compression
5546,2,158,DEFERRED
5552,3,158,Internal separator prefix truncation
5564,3,158,Leaf prefix/suffix compression
5576,1,159,159. Internal and Leaf Search Performance
5578,2,159,LOCKED
5603,1,160,160. Root/Internal Page Caching
5605,2,160,LOCKED
5617,1,161,161. Structural Modification vs User Transaction
5619,2,161,LOCKED
5662,1,162,162. WAL Direction for Structural Operations
5664,2,162,LOCKED architectural direction
5690,1,163,163. Page LSN and WAL Ordering
5692,2,163,LOCKED
5718,1,164,164. Structural Publication Invariant
5720,2,164,LOCKED
5737,1,165,165. Page Validation
5739,2,165,LOCKED
5762,1,166,166. Full Tree Verifier
5764,2,166,LOCKED
5787,1,167,167. B+ Tree Milestone 1
5789,2,167,LOCKED
5812,1,168,168. B+ Tree Milestone 2
5814,2,168,LOCKED
5832,1,169,169. B+ Tree Milestone 3
5834,2,169,LOCKED
5850,1,170,170. Required Deterministic Tests
5852,2,170,LOCKED
5886,1,171,171. Duplicate Stress Test
5888,2,171,LOCKED
5906,1,172,172. Randomized Tests
5908,2,172,LOCKED
5935,1,173,173. Concurrent Tests
5937,2,173,LOCKED
5955,1,174,174. B+ Tree Benchmarks
5957,2,174,LOCKED
5988,3,174,Hot tree
5999,3,174,Larger-than-buffer tree
6012,1,175,175. Deliberately Deferred B+ Tree Features
6014,2,175,LOCKED
6040,1,176,176. First Post-Correctness Optimization Candidates
6042,2,176,LOCKED recommendation
6059,1,177,177. B+ Tree Invariants
6061,2,177,LOCKED
6088,1,178,178. Decisions Added by the B+ Tree Architecture
6090,2,178,LOCKED
6127,1,179,179. Next Architecture Stage
6168,1,180,"180. Transaction, MVCC, Locking, WAL, Recovery, and Vacuum Contract"
6170,2,180,LOCKED
6208,1,181,181. Architecture Refinement: No Physical User-Transaction Undo
6210,2,181,LOCKED
6228,3,181,Aborted INSERT
6242,3,181,Aborted DELETE
6254,3,181,Aborted UPDATE
6288,1,182,182. Reserved Transaction IDs
6290,2,182,LOCKED
6316,1,183,183. Durable Transaction-ID Reservation
6318,2,183,LOCKED: reserve ID blocks
6350,1,184,184. Transaction Object
6352,2,184,LOCKED conceptually
6383,1,185,185. Isolation Levels
6385,2,185,LOCKED
6414,1,186,186. Command IDs
6416,2,186,LOCKED
6446,1,187,187. Snapshot Representation
6448,2,187,LOCKED
6462,3,187,`xmax`
6478,3,187,`active`
6488,3,187,`xmin`
6508,1,188,188. Snapshot Capture Synchronization
6510,2,188,LOCKED
6541,1,189,189. READ COMMITTED Snapshots
6543,2,189,LOCKED
6565,1,190,190. REPEATABLE READ Snapshots
6567,2,190,LOCKED
6591,1,191,191. Transaction Status Store
6593,2,191,LOCKED
6623,1,192,192. Transaction Status Page Mapping
6625,2,192,LOCKED
6651,1,193,193. Transaction Status Lookup
6653,2,193,LOCKED
6685,1,194,194. Commit Status Publication
6687,2,194,LOCKED
6715,1,195,195. Abort Status Publication
6717,2,195,LOCKED
6745,1,196,196. Read-Only Transactions
6747,2,196,LOCKED
6766,1,197,197. Tuple Visibility: Creator Rule
6768,2,197,LOCKED
6811,1,198,198. Tuple Visibility: Deleter Rule
6813,2,198,LOCKED
6817,3,198,No deleter
6825,3,198,Deleted/updated by current transaction
6842,3,198,Other transaction
6884,1,199,199. Visibility Algorithm Summary
6886,2,199,LOCKED
6904,1,200,200. Hint Cleanup
6906,2,200,LOCKED
6912,3,200,Aborted `xmax`
6927,3,200,Ancient committed creator
6944,1,201,201. Logical Lock Types
6946,2,201,LOCKED
6970,1,202,202. Tuple Write Lock Key
6972,2,202,LOCKED
6988,1,203,203. Critical Lock/Latch Rule
6990,2,203,LOCKED
7019,1,204,204. UPDATE / DELETE Write Conflict Protocol
7021,2,204,LOCKED
7033,3,204,`xmax == 0`
7037,3,204,`xmax` belongs to self
7041,3,204,`xmax` belongs to an aborted transaction
7047,3,204,`xmax` belongs to an in-progress transaction
7053,3,204,`xmax` belongs to a committed competing updater
7059,1,205,205. READ COMMITTED Write Conflict Behavior
7061,2,205,LOCKED
7088,1,206,206. REPEATABLE READ Write Conflict Behavior
7090,2,206,LOCKED
7104,1,207,207. Lost-Update Prevention
7106,2,207,LOCKED
7126,1,208,208. Unique-Key Lock Key
7128,2,208,LOCKED
7143,1,209,209. Unique-Key Lock Protocol
7145,2,209,LOCKED
7167,1,210,210. Unique Check Semantics
7169,2,210,LOCKED
7185,1,211,211. Lock Duration
7187,2,211,LOCKED: strict write locking
7203,1,212,212. Lock Table
7205,2,212,LOCKED
7234,1,213,213. Deadlock Detection
7236,2,213,LOCKED: wait-for graph
7263,1,214,214. B+ Tree Latches Are Not LockManager Locks
7265,2,214,LOCKED
7283,1,215,215. WAL Physical Organization
7285,2,215,"LOCKED: one logical WAL stream, segmented files"
7319,1,216,216. WAL Record Alignment
7321,2,216,LOCKED
7342,1,217,217. WAL Record Header
7344,2,217,LOCKED: 48-byte logical header
7377,1,218,218. Per-Transaction WAL Chain
7379,2,218,LOCKED
7412,1,219,219. WAL Record Types
7414,2,219,LOCKED initial set
7441,1,220,220. PAGE_DELTA Record
7443,2,220,LOCKED
7482,1,221,221. PAGE_INIT Record
7484,2,221,LOCKED
7505,1,222,222. Torn-Page Protection
7507,2,222,LOCKED: first-modification full-page images
7529,1,223,223. Full-Page Image Semantics
7531,2,223,LOCKED
7558,1,224,224. Why Full-Page Images Are Checkpoint-Epoch Based
7560,2,224,LOCKED rationale
7584,1,225,225. B+ Tree Mini-Transactions
7586,2,225,LOCKED
7612,1,226,226. Atomic BTREE_MTR WAL Record
7614,2,226,LOCKED
7643,1,227,227. B+ Mini-Transaction No-Flush Barrier
7645,2,227,LOCKED
7683,1,228,228. B+ Tree Changes Survive User Abort
7685,2,228,LOCKED
7710,1,229,229. Heap WAL Ordering Relative to Index WAL
7712,2,229,LOCKED
7729,1,230,230. WAL Buffer
7731,2,230,LOCKED
7764,1,231,231. WAL Writer / Flusher
7766,2,231,LOCKED
7787,1,232,232. Group Commit
7789,2,232,LOCKED
7816,1,233,233. Commit Coordinator
7818,2,233,LOCKED
7839,1,234,234. Synchronous Commit
7841,2,234,LOCKED for v1
7861,1,235,235. Dirty Page recLSN
7863,2,235,LOCKED
7898,1,236,236. WAL-Before-Data Restatement
7900,2,236,LOCKED
7927,1,237,237. Database Control File
7929,2,237,LOCKED
7971,1,238,238. Control File Update Frequency
7973,2,238,LOCKED
7985,1,239,239. Fuzzy Checkpoint Goal
7987,2,239,LOCKED
7997,1,240,240. Checkpoint Protocol
7999,2,240,LOCKED
8019,1,241,241. Dirty-Page Table Checkpoint Entry
8021,2,241,LOCKED
8038,1,242,242. Active Writer Transaction Checkpoint Entry
8040,2,242,LOCKED
8057,1,243,243. Checkpoint Data Chunking
8059,2,243,LOCKED
8080,1,244,244. Checkpoint Redo Start
8082,2,244,LOCKED
8103,1,245,245. WAL Recycling
8105,2,245,LOCKED
8126,1,246,246. Recovery Startup: WAL Tail Validation
8128,2,246,LOCKED
8143,1,247,247. Recovery Phase 1: Analysis
8145,2,247,LOCKED
8162,3,247,PAGE records
8170,3,247,BTREE_MTR
8174,3,247,TXN_COMMIT
8178,3,247,TXN_ABORT
8186,1,248,248. Recovery Phase 2: Redo
8188,2,248,LOCKED
8198,3,248,PAGE_DELTA / PAGE_IMAGE / PAGE_INIT
8204,3,248,BTREE_MTR
8220,1,249,249. Redo and Corrupt/Torn Data Pages
8222,2,249,LOCKED
8244,1,250,250. Recovery Phase 3: Loser Resolution
8246,2,250,LOCKED
8267,1,251,251. No CLRs in v1 User-DML Recovery
8269,2,251,LOCKED
8283,1,252,252. Recovery of Transaction Status Pages
8285,2,252,LOCKED
8303,1,253,253. Recovery of Approximate Metadata
8305,2,253,LOCKED
8325,1,254,254. Recovery Completion
8327,2,254,LOCKED
8349,1,255,255. Crash-Recovery Correctness Principle
8351,2,255,LOCKED
8355,3,255,COMMIT returned success
8363,3,255,COMMIT had not become durable
8371,3,255,ABORTED or crash loser
8383,1,256,256. Vacuum Global Visibility Horizon
8385,2,256,LOCKED
8407,1,257,257. Why Active Transactions Alone Are Not the Vacuum Horizon
8409,2,257,LOCKED
8433,1,258,258. Tuple Version Garbage Eligibility
8435,2,258,LOCKED
8439,3,258,Creator aborted
8447,3,258,Version deleted/superseded long enough ago
8465,1,259,259. Vacuum Treatment of In-Progress Metadata
8467,2,259,LOCKED
8482,1,260,260. Two-Phase Physical RID Reclamation
8484,2,260,LOCKED
8520,1,261,261. Read Epoch Manager
8522,2,261,LOCKED
8553,1,262,262. Why Snapshot Visibility Alone Is Not Enough for RID Reuse
8555,2,262,LOCKED rationale
8575,1,263,263. DEAD Slot Persistence Across Crash
8577,2,263,LOCKED
8592,1,264,264. Vacuum Index-Cleanup Protocol
8594,2,264,LOCKED
8620,1,265,265. Vacuum Version-Chain Splicing
8622,2,265,LOCKED
8651,1,266,266. Vacuum and Concurrent Updates
8653,2,266,LOCKED
8678,1,267,267. DEAD to UNUSED Transition
8680,2,267,LOCKED
8698,1,268,268. Vacuum Handling of Aborted `xmax`
8700,2,268,LOCKED
8721,1,269,269. Freezing Ancient Live Tuples
8723,2,269,LOCKED
8746,1,270,270. Transaction Status Truncation
8748,2,270,"LOCKED architecture, later operational milestone"
8772,1,271,271. Vacuum and B+ Tree Garbage
8774,2,271,LOCKED
8797,1,272,272. Vacuum and FSM
8799,2,272,LOCKED
8813,1,273,273. Vacuum and Statistics
8815,2,273,LOCKED
8834,1,274,274. Manual Vacuum First
8836,2,274,LOCKED implementation order
8857,1,275,275. Transaction + Index + Heap INSERT Protocol
8859,2,275,LOCKED high-level sequence
8889,1,276,276. Transaction + Index + Heap UPDATE Protocol
8891,2,276,LOCKED high-level sequence
8928,1,277,277. Transaction + Heap DELETE Protocol
8930,2,277,LOCKED high-level sequence
8956,1,278,278. Transaction COMMIT Protocol
8958,2,278,LOCKED detailed sequence
8982,1,279,279. Transaction ABORT Protocol
8984,2,279,LOCKED detailed sequence
9005,1,280,280. Statement Retry Boundary
9007,2,280,LOCKED
9022,1,281,281. Error Categories
9024,2,281,LOCKED
9045,1,282,282. Transaction Observability
9047,2,282,LOCKED
9095,1,283,283. Transaction Debug Introspection
9097,2,283,LOCKED
9119,1,284,284. Crash Injection Framework
9121,2,284,LOCKED
9144,1,285,285. Recovery Property Tests
9146,2,285,LOCKED
9163,1,286,286. MVCC Visibility Tests
9165,2,286,LOCKED
9187,1,287,287. Isolation Tests
9189,2,287,LOCKED
9206,1,288,288. Locking Tests
9208,2,288,LOCKED
9229,1,289,289. Group Commit Benchmarks
9231,2,289,LOCKED
9258,1,290,290. Checkpoint/Recovery Benchmarks
9260,2,290,LOCKED
9283,1,291,291. Vacuum Benchmarks
9285,2,291,LOCKED
9310,1,292,292. Deliberately Deferred Transaction Features
9312,2,292,LOCKED
9340,1,293,293. High-Reward Future Transaction Experiments
9342,2,293,LOCKED recommendation
9365,1,294,294. Transaction/Durability Invariants
9367,2,294,LOCKED
9406,1,295,295. Modules Added by This Architecture
9408,2,295,LOCKED recommended project structure extension
9459,1,296,296. Implementation Order for the Transaction/Durability Core
9461,2,296,LOCKED
9465,3,296,Phase T1 — Transaction identity and visibility
9475,3,296,Phase T2 — Logical conflict control
9484,3,296,Phase T3 — WAL foundations
9494,3,296,Phase T4 — Commit durability
9503,3,296,Phase T5 — B+ tree durability
9511,3,296,Phase T6 — Checkpoint and recovery
9523,3,296,Phase T7 — Vacuum
9540,1,297,297. Transaction/Durability Milestone 1
9542,2,297,LOCKED target
9562,1,298,298. Transaction/Durability Milestone 2
9564,2,298,LOCKED target
9581,1,299,299. Transaction/Durability Milestone 3
9583,2,299,LOCKED target
9601,1,300,300. Architecture Status After This Section
9603,2,300,LOCKED v1
9654,1,301,"301. Catalog, SQL Front End, Binder, Expression, and Logical Plan Contract"
9656,2,301,LOCKED
9696,1,302,302. Upper-Layer Dependency Direction
9698,2,302,LOCKED
9738,1,303,303. Catalog Philosophy
9740,2,303,LOCKED
9775,1,304,304. Database Namespace Model
9777,2,304,LOCKED for v1
9804,1,305,305. Catalog Object Identifiers
9806,2,305,LOCKED
9825,1,306,306. Catalog System Tables
9827,2,306,LOCKED
9844,3,306,`sys_tables`
9856,3,306,`sys_columns`
9871,3,306,`sys_indexes`
9884,3,306,`sys_index_columns`
9892,3,306,`sys_constraints`
9902,3,306,`sys_statistics`
9921,1,307,307. Catalog Bootstrap
9923,2,307,LOCKED
9946,1,308,308. Catalog Cache
9948,2,308,LOCKED
9966,1,309,309. Catalog Descriptor Lifetime
9968,2,309,LOCKED
9987,1,310,310. Schema Versioning
9989,2,310,LOCKED
10011,1,311,311. Column Identity vs Position
10013,2,311,LOCKED
10044,1,312,312. SQL Type System
10046,2,312,LOCKED initial scalar types
10073,1,313,313. LogicalType Representation
10075,2,313,LOCKED
10105,1,314,314. NULL Is Not an Ordinary Runtime Type
10107,2,314,LOCKED
10132,1,315,315. Type Promotion
10134,2,315,LOCKED
10159,1,316,316. String Coercion Policy
10161,2,316,LOCKED
10179,1,317,317. Boolean Context
10181,2,317,LOCKED
10195,1,318,318. SQL Three-Valued Logic
10197,2,318,LOCKED
10225,1,319,319. Comparison and NULL
10227,2,319,LOCKED
10267,1,320,320. Initial Cast Model
10269,2,320,LOCKED
10299,1,321,321. Type Resolution API
10301,2,321,LOCKED
10326,1,322,322. SQL Value Representation
10328,2,322,LOCKED
10355,1,323,323. Lexer
10357,2,323,LOCKED: handwritten lexer
10374,1,324,324. Lexer Token Classes
10376,2,324,LOCKED
10401,1,325,325. Identifier Case Rules
10403,2,325,LOCKED
10439,1,326,326. SQL String Literals
10441,2,326,LOCKED
10461,1,327,327. Numeric Literal Lexing
10463,2,327,LOCKED
10487,1,328,328. Comments
10489,2,328,LOCKED
10509,1,329,329. Source Locations
10511,2,329,LOCKED
10528,1,330,330. Parser Architecture
10530,2,330,LOCKED: handwritten recursive descent + Pratt expressions
10560,1,331,331. Initial SQL Statement Set
10562,2,331,LOCKED
