old_section,old_title,start_line,end_line,source_lines,rewrite_pass,source_role,locked_marker,rationale_present,migration,target,migration_status,notes
30,Logical Query Representation,844,866,23,1,ARCHITECTURE_OVERVIEW + ARCHITECTURAL_RATIONALE,yes,no,MERGE_AND_DEDUPLICATE,"ARCHITECTURE_NEW.md §20 — Logical Plans, Properties, and Rewrites",MIGRATED_BASELINE_PASS1,Early high-level architecture overlaps later concrete sections; preserve unique rationale/constraints and merge into the later canonical contract. Relational-algebra logical plan and initial operator family migrated to new §20.1.
31,Query Rewrite,867,885,19,1,ARCHITECTURE_OVERVIEW + ARCHITECTURAL_RATIONALE,yes,no,MERGE_AND_DEDUPLICATE,"ARCHITECTURE_NEW.md §20 — Logical Plans, Properties, and Rewrites",MIGRATED_SPLIT_PASS1,Early high-level architecture overlaps later concrete sections; preserve unique rationale/constraints and merge into the later canonical contract. Logical rewrite families/semantic preservation migrated to new §20.2; explicit optimizer-test procedure belongs to verification rather than canonical architecture.
32,Statistics,886,903,18,1,ARCHITECTURE_OVERVIEW + ARCHITECTURAL_RATIONALE,yes,no,MERGE_AND_DEDUPLICATE,ARCHITECTURE_NEW.md §34 — Statistics,MIGRATED_BASELINE_PASS1,Early high-level architecture overlaps later concrete sections; preserve unique rationale/constraints and merge into the later canonical contract. Explicit statistics/cardinality-estimation requirement migrated to new §34.
33,Cost-Based Optimizer,904,923,20,1,ARCHITECTURE_OVERVIEW + ARCHITECTURAL_RATIONALE,yes,no,MERGE_AND_DEDUPLICATE,ARCHITECTURE_NEW.md §33 — Optimizer Architecture,MIGRATED_BASELINE_PASS1,Early high-level architecture overlaps later concrete sections; preserve unique rationale/constraints and merge into the later canonical contract. Cost-based physical-selection rule and initial cost dimensions migrated to new §33.
34,Join Ordering,924,935,12,1,ARCHITECTURE_OVERVIEW + ARCHITECTURAL_RATIONALE,yes,no,MERGE_AND_DEDUPLICATE,ARCHITECTURE_NEW.md §37 — Physical Properties and Join Enumeration,MIGRATED_BASELINE_PASS1,Early high-level architecture overlaps later concrete sections; preserve unique rationale/constraints and merge into the later canonical contract. Small-join DP and bounded larger-join search migrated to new §37.
35,Physical Operators,936,959,24,1,ARCHITECTURE_OVERVIEW + ARCHITECTURAL_RATIONALE,yes,no,MERGE_AND_DEDUPLICATE,ARCHITECTURE_NEW.md §22 — Physical Plan and Runtime Operator Model,MIGRATED_BASELINE_PASS1,Early high-level architecture overlaps later concrete sections; preserve unique rationale/constraints and merge into the later canonical contract. Logical/physical separation and operator-alternative examples migrated to new §22.
36,Execution Model,960,998,39,1,ARCHITECTURE_OVERVIEW + ARCHITECTURAL_RATIONALE,yes,yes,MERGE_AND_DEDUPLICATE,ARCHITECTURE_NEW.md §22 — Physical Plan and Runtime Operator Model,MIGRATED_BASELINE_PASS1,Early high-level architecture overlaps later concrete sections; preserve unique rationale/constraints and merge into the later canonical contract. Vectorized/chunk-at-a-time production execution and 1024-row initial target migrated to new §22.
37,Execution Data Layout,999,1030,32,1,ARCHITECTURE_OVERVIEW + ARCHITECTURAL_RATIONALE,yes,no,MERGE_AND_DEDUPLICATE,ARCHITECTURE_NEW.md §23 — Vectorized Data and String Representation,MIGRATED_BASELINE_PASS1,Early high-level architecture overlaps later concrete sections; preserve unique rationale/constraints and merge into the later canonical contract. Typed-vector hot-path representation migrated to new §23.
38,Primary Join Algorithms,1031,1049,19,1,ARCHITECTURE_OVERVIEW + ARCHITECTURAL_RATIONALE,yes,no,MERGE_AND_DEDUPLICATE,ARCHITECTURE_NEW.md §28 — Join Execution,MIGRATED_SPLIT_PASS1,Early high-level architecture overlaps later concrete sections; preserve unique rationale/constraints and merge into the later canonical contract. Join algorithm roles and HashJoin architectural requirements migrated to new §28; development sequencing wording intentionally not retained as an agent/project instruction.
39,Aggregation,1050,1063,14,1,ARCHITECTURE_OVERVIEW + ARCHITECTURAL_RATIONALE,yes,no,MERGE_AND_DEDUPLICATE,ARCHITECTURE_NEW.md §29 — Aggregation and DISTINCT,MIGRATED_BASELINE_PASS1,Early high-level architecture overlaps later concrete sections; preserve unique rationale/constraints and merge into the later canonical contract. Hash aggregation baseline and later sort/streaming/spill directions migrated to new §29.
40,Sorting,1064,1075,12,1,ARCHITECTURE_OVERVIEW + ARCHITECTURAL_RATIONALE,yes,no,MERGE_AND_DEDUPLICATE,ARCHITECTURE_NEW.md §30 — Sorting and Top-N,MIGRATED_SPLIT_PASS1,Early high-level architecture overlaps later concrete sections; preserve unique rationale/constraints and merge into the later canonical contract. In-memory baseline + later external merge architecture migrated to new §30; milestone-style sequencing wording normalized as staged architecture.
41,Query Memory Management,1076,1097,22,1,ARCHITECTURE_OVERVIEW + ARCHITECTURAL_RATIONALE,yes,no,MERGE_AND_DEDUPLICATE,"ARCHITECTURE_NEW.md §24 — Query Memory, Row Storage, and Spill",MIGRATED_BASELINE_PASS1,Early high-level architecture overlaps later concrete sections; preserve unique rationale/constraints and merge into the later canonical contract. Query-scoped arena/pool requirements migrated to new §24.
42,Parallelism,1098,1114,17,1,ARCHITECTURE_OVERVIEW + ARCHITECTURAL_RATIONALE,yes,no,MERGE_AND_DEDUPLICATE,ARCHITECTURE_NEW.md §32 — Parallel Execution and Scheduling,MIGRATED_BASELINE_PASS1,Early high-level architecture overlaps later concrete sections; preserve unique rationale/constraints and merge into the later canonical contract. Parallel-ready/single-worker-first architecture migrated to new §32.
43,Threading / Shared State,1115,1132,18,1,ARCHITECTURE_OVERVIEW + ARCHITECTURAL_RATIONALE,yes,no,MERGE_AND_DEDUPLICATE,ARCHITECTURE_NEW.md §2 — System Architecture and Dependency Model,MIGRATED_BASELINE_PASS1,Early high-level architecture overlaps later concrete sections; preserve unique rationale/constraints and merge into the later canonical contract. No-global-hot-lock rule and future shared-state partitioning direction migrated to new §2.4.
44,Error Handling,1133,1150,18,1,ARCHITECTURE_CONTRACT,yes,no,REWRITE_CANONICALLY,ARCHITECTURE_NEW.md §39 — Error and Corruption Model,MIGRATED_PASS1,Preserve normative semantics; reorganize into the canonical subsystem chapter. Error categories and fail-loudly/no-silent-corruption contract migrated to new §39.
45,Testing Philosophy,1151,1189,39,1,VERIFICATION_REQUIREMENT,yes,no,SPLIT_AND_MERGE,ARCHITECTURE_NEW.md §41 — Verification Requirements + VERIFICATION.md (proposed),MIGRATED_ARCH_REQUIREMENTS_PASS1,Keep architecture-level verification obligations; move detailed test recipes/checklists to verification documentation. Architecture-level verification obligations migrated to new §41. Detailed recipes are intentionally not canonical architecture and remain preserved by the legacy source pending dedicated verification documentation.
46,Benchmarking Philosophy,1190,1224,35,1,PERFORMANCE_VERIFICATION,yes,no,SPLIT_AND_MERGE,ARCHITECTURE_NEW.md §42 — Performance Requirements + VERIFICATION.md (proposed),MIGRATED_ARCH_REQUIREMENTS_PASS1,Keep required performance properties/metrics; move benchmark procedures/checklists to verification documentation. Architecture-level benchmark/performance obligations migrated to new §42. Detailed procedures remain preserved by the legacy source pending dedicated verification documentation.
47,Observability,1225,1249,25,1,ARCHITECTURE_CONTRACT,yes,no,REWRITE_CANONICALLY,ARCHITECTURE_NEW.md §40 — Observability and EXPLAIN,MIGRATED_PASS1,Preserve normative semantics; reorganize into the canonical subsystem chapter. Metric families migrated to new §40.1.
48,Explain,1250,1272,23,1,ARCHITECTURE_CONTRACT,yes,no,REWRITE_CANONICALLY,ARCHITECTURE_NEW.md §40 — Observability and EXPLAIN,MIGRATED_PASS1,Preserve normative semantics; reorganize into the canonical subsystem chapter. EXPLAIN / EXPLAIN ANALYZE requirements migrated to new §40.2.
49,Suggested Implementation Order,1273,1362,90,1,PROJECT_ROADMAP / MILESTONE,no,no,MOVE_OUT_OF_ARCHITECTURE,DEVELOPMENT.md (proposed),EXCLUDED_FROM_ARCHITECTURE_PASS1,"Implementation sequence and milestone targets are project planning rather than system architecture. Implementation roadmap is project planning, not architecture. Preserved in the legacy source; proposed future destination remains DEVELOPMENT.md."
50,Architecture Invariants,1363,1381,19,1,ARCHITECTURAL_INVARIANTS,no,no,MERGE_AND_DEDUPLICATE,ARCHITECTURE_NEW.md §B — Global Invariants,MIGRATED_INVARIANTS_PASS1,Preserve every invariant; colocate subsystem-specific invariants with their owning chapters where useful. All 12 legacy global invariants migrated to Appendix B with AI-specific wording removed.
51,Locked Architecture Decisions,1382,1402,21,1,ARCHITECTURE_DECISION_SUMMARY,yes,yes,MERGE_AND_DEDUPLICATE,ARCHITECTURE_NEW.md §1 — Scope and Design Goals,MIGRATED_DEDUP_PASS1,Decision summaries duplicate detailed contracts; preserve unique rationale and ensure each decision has one canonical definition. C++20 and heap-version MVCC selected decisions migrated to new §1.4; duplicate summary removed.
52,Working Philosophy,1403,1424,22,1,PROJECT_PHILOSOPHY + ARCHITECTURAL_RATIONALE,no,yes,SPLIT_AND_MERGE,ARCHITECTURE_NEW.md §1 — Scope and Design Goals + project/development documentation,MIGRATED_SPLIT_PASS1,Keep architecture-relevant design motivation; move general learning/workflow philosophy out of the contract. Architecture-relevant design intent migrated to new §1.5. General implementation/agent philosophy is intentionally not part of the technical contract.
53,Concrete Storage Engine Contract,1425,1445,21,2,SUBSYSTEM_CONTRACT_INTRODUCTION,yes,no,MERGE_INTO_PART_INTRODUCTION,ARCHITECTURE_NEW.md §4 — Persistent Storage Foundations,MIGRATED_PASS2,Use as subsystem framing; do not retain a second independent contract layer. Merged into new §4.1 as the scope/compatibility purpose of the canonical storage-foundation contract.
54,Fundamental Identifier Types,1446,1485,40,2,ARCHITECTURE_CONTRACT,yes,no,REWRITE_CANONICALLY,ARCHITECTURE_NEW.md §4 — Persistent Storage Foundations,MIGRATED_PASS2,Preserve normative semantics; reorganize into the canonical subsystem chapter. Identifier widths and exact listed sentinel values migrated to new §4.3; FileId/OS-descriptor distinction preserved.
55,PageId,1486,1531,46,2,ARCHITECTURE_CONTRACT,yes,no,REWRITE_CANONICALLY,ARCHITECTURE_NEW.md §4 — Persistent Storage Foundations,MIGRATED_PASS2,"Preserve normative semantics; reorganize into the canonical subsystem chapter. PageId structure, persistent identity semantics, addressing formula, comparability/hashability, and BufferPool independence migrated to new §4.4."
56,RID,1532,1556,25,2,ARCHITECTURE_CONTRACT,yes,no,REWRITE_CANONICALLY,ARCHITECTURE_NEW.md §4 — Persistent Storage Foundations,MIGRATED_PASS2,Preserve normative semantics; reorganize into the canonical subsystem chapter. RID structure and physical-tuple-version semantics migrated to new §4.5.
57,Index-to-Heap Addressing,1557,1622,66,2,ARCHITECTURE_CONTRACT,yes,no,REWRITE_CANONICALLY,ARCHITECTURE_NEW.md §4 — Persistent Storage Foundations,MIGRATED_CROSS_SUBSYSTEM_PASS2,"Preserve normative semantics; reorganize into the canonical subsystem chapter. Index->RID addressing, UPDATE/index-scan consequences, vacuum cleanup, and HOT deferral migrated to new §4.6; later index/MVCC chapters will reference/refine without duplicating the identity contract."
58,File Kinds,1623,1660,38,2,ARCHITECTURE_CONTRACT,yes,no,REWRITE_CANONICALLY,ARCHITECTURE_NEW.md §4 — Persistent Storage Foundations,MIGRATED_PASS2,"Preserve normative semantics; reorganize into the canonical subsystem chapter. Exact uint16 little-endian FileKind codes, code-0 invalid rule, WAL separation, page-0 superblock reservation, and page-1 data start migrated to new §4.7."
59,File Superblock,1661,1779,119,2,ARCHITECTURE_CONTRACT,yes,no,REWRITE_CANONICALLY,ARCHITECTURE_NEW.md §4 — Persistent Storage Foundations,MIGRATED_PASS2,"Preserve normative semantics; reorganize into the canonical subsystem chapter. Complete 8192-byte v1 superblock layout, constants, object_id/creation_epoch semantics, exact checksum algorithm, validation, flags/reserved compatibility rules, and oversized-input codec rule migrated to new §4.10."
60,Page Allocation Policy,1780,1833,54,2,ARCHITECTURE_CONTRACT + RATIONALE,yes,yes,REWRITE_CANONICALLY,ARCHITECTURE_NEW.md §4 — Persistent Storage Foundations,MIGRATED_PASS2,"Preserve normative semantics; reorganize into the canonical subsystem chapter. Zero-page raw-file start, explicit superblock creation, append-first allocation, no implicit/sparse write allocation, serialized concurrent append, later object-specific reuse, and extent/shrink scope migrated to new §4.11 and Appendix C."
61,Common Page Header,1834,1877,44,2,ARCHITECTURE_CONTRACT + RATIONALE,yes,yes,REWRITE_CANONICALLY,ARCHITECTURE_NEW.md §4 — Persistent Storage Foundations,MIGRATED_PASS2,"Preserve normative semantics; reorganize into the canonical subsystem chapter. Exact 32-byte common header, little-endian fields, embedded page-number rationale, and page_lsn semantics migrated to new §4.8."
62,Page Types,1878,1905,28,2,ARCHITECTURE_CONTRACT,yes,no,REWRITE_CANONICALLY,ARCHITECTURE_NEW.md §4 — Persistent Storage Foundations,MIGRATED_PASS2,Preserve normative semantics; reorganize into the canonical subsystem chapter. Exact uint16 little-endian PageType codes and required expected-type validation migrated to new §4.9.
63,Page Checksums,1906,1935,30,2,ARCHITECTURE_CONTRACT,yes,no,REWRITE_CANONICALLY,ARCHITECTURE_NEW.md §4 — Persistent Storage Foundations,MIGRATED_WITH_ISSUE_PASS2,"Preserve normative semantics; reorganize into the canonical subsystem chapter. CRC32C algorithm, checksum-field-zero rule, staged enablement, purpose, and torn-page limitation migrated to new §4.12. Legacy source does not specify one exact checksum byte range for every non-superblock page; tracked as R-010 rather than guessed."
64,Heap File Structure,1936,1961,26,3,ARCHITECTURE_CONTRACT + RATIONALE,yes,yes,REWRITE_CANONICALLY,ARCHITECTURE_NEW.md §5 — Heap Storage and Tuple Format,MIGRATED_PASS3,Preserve normative semantics; reorganize into the canonical subsystem chapter. Heap/FSM relation file structure and heap-page numbering/sequential-scan locality migrated to new §5.1; FSM format remains Pass 4.
65,Heap Scan Order,1962,1977,16,3,ARCHITECTURE_CONTRACT,yes,no,REWRITE_CANONICALLY,ARCHITECTURE_NEW.md §5 — Heap Storage and Tuple Format,MIGRATED_PASS3,"Preserve normative semantics; reorganize into the canonical subsystem chapter. Ascending page/slot physical scan order, later MVCC filtering, and non-SQL-ordering rule migrated to new §5.2."
66,Heap Data Page Header,1978,2079,102,3,ARCHITECTURE_CONTRACT,yes,no,REWRITE_CANONICALLY,ARCHITECTURE_NEW.md §5 — Heap Storage and Tuple Format,MIGRATED_PASS3,"Preserve normative semantics; reorganize into the canonical subsystem chapter. HEAP_DATA v1 common-header requirements, exact 16-byte heap-specific header, lower/upper equations, free-slot sentinel, reserved-zero rules, and prune_hint staging migrated to new §5.3."
67,Slot Directory,2080,2182,103,3,ARCHITECTURE_CONTRACT,yes,no,REWRITE_CANONICALLY,ARCHITECTURE_NEW.md §5 — Heap Storage and Tuple Format,MIGRATED_PASS3,"Preserve normative semantics; reorganize into the canonical subsystem chapter. Exact 8-byte slot format, persisted state codes, unknown-state rejection, NORMAL aux=0, DEAD pre/post-compaction rules, deferred reuse, and stable SlotId semantics migrated to new §5.4."
68,Heap Page Free-Space Geometry,2183,2221,39,3,ARCHITECTURE_CONTRACT,yes,no,REWRITE_CANONICALLY,ARCHITECTURE_NEW.md §5 — Heap Storage and Tuple Format,MIGRATED_PASS3,"Preserve normative semantics; reorganize into the canonical subsystem chapter. Heap free-space geometry, slot-growth cost, and compaction-purpose rule migrated to new §5.5."
69,Maximum Inline Tuple Size,2222,2274,53,3,ARCHITECTURE_CONTRACT,yes,no,REWRITE_CANONICALLY,ARCHITECTURE_NEW.md §5 — Heap Storage and Tuple Format,MIGRATED_PASS3,"Preserve normative semantics; reorganize into the canonical subsystem chapter. Strict 8135-byte raw tuple maximum and 8136 rejection, inline-only v1 scope, explicit oversized-row error, and overflow deferral migrated to new §5.6."
